Serial No.,Date,Type,No Samples,Surrogate Nodes,CQR Nodes,CQR Alpha,Initial Condition,Optimizer Success,Closed Loop Cost,Boundary Violation,Iterations,MPC Horizon,MPC Input Cost,ICBMPC Tightner,ICBMPC Random Sampling,ICBMPC Confidence Cutoff,MPC Setpoint,ICBMPC Max Search,Time,LQR r,LQR q,MPC Robust Horizon
1,7/23/25 20:20,cs1,1000.0,5.0,20.0,0.05,True,True,[[0.05838339]],False,50,20,0.01,1.0,7.0,0.8,,10.0,342.58537769317627,10.0,1.0,
2,7/23/25 20:22,cs2,1000.0,20.0,,,True,False,[[-1.04215112]],True,50,20,0.01,,,,,,0.8223211765289307,,,
3,7/23/25 20:22,cs3,1000.0,5.0,20.0,0.05,True,False,[[35.15148455]],True,50,20,0.01,,,,,,1645.0043849945068,,,5.0
4,7/23/25 20:50,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.8839192390441895,,,
5,7/23/25 20:55,cs5,1000.0,5.0,20.0,0.05,True,True,[[0.17967172]],False,50,20,0.01,1.0,7.0,0.8,,10.0,342.79492473602295,,,
6,7/24/25 11:54,cs1,1000.0,5.0,20.0,0.05,True,False,[[12.92892374]],True,50,20,0.01,1.0,7.0,0.8,,10.0,341.10256910324097,10.0,1.0,
7,7/24/25 11:58,cs2,1000.0,20.0,,,True,True,[[-1.00000799]],True,50,20,0.01,,,,,,0.7933750152587891,,,
8,7/24/25 11:58,cs3,1000.0,5.0,20.0,0.05,True,False,[[5.49029083]],True,50,20,0.01,,,,,,677.4273509979248,,,5.0
9,7/24/25 12:10,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.8527660369873047,,,
10,7/24/25 12:14,cs5,1000.0,5.0,20.0,0.05,True,False,[[13.66779688]],True,50,20,0.01,1.0,7.0,0.8,,10.0,285.8296148777008,,,
11,7/24/25 12:27,cs1,1000.0,5.0,20.0,0.05,True,True,[[0.31648087]],False,50,20,0.01,1.0,7.0,0.8,,10.0,344.54169178009033,10.0,1.0,
12,7/24/25 12:30,cs2,1000.0,20.0,,,True,True,[[-0.96951342]],False,50,20,0.01,,,,,,0.5573251247406006,,,
13,7/24/25 12:30,cs3,1000.0,5.0,20.0,0.05,True,False,[[13.78841347]],True,50,20,0.01,,,,,,243.1743791103363,,,5.0
14,7/24/25 12:34,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.8818569183349609,,,
15,7/24/25 12:39,cs5,1000.0,5.0,20.0,0.05,True,False,[[4.06347332]],True,50,20,0.01,1.0,7.0,0.8,,10.0,314.70704913139343,,,
16,7/24/25 12:59,cs1,1000.0,5.0,20.0,0.05,True,True,[[0.55606187]],True,50,20,0.01,1.0,7.0,0.8,,10.0,334.37630105018616,10.0,1.0,
17,7/24/25 13:02,cs2,1000.0,20.0,,,True,False,[[-1.04344297]],True,50,20,0.01,,,,,,0.8491330146789551,,,
18,7/24/25 13:03,cs3,1000.0,5.0,20.0,0.05,True,False,[[215.59557283]],True,50,20,0.01,,,,,,581.7081880569458,,,5.0
19,7/24/25 13:12,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.884706974,,,
20,7/24/25 13:17,cs5,1000.0,5.0,20.0,0.05,True,True,[[0.63338349]],True,50,20,0.01,1.0,7.0,0.8,,10.0,302.7965691,,,
21,7/24/25 14:13,cs1,1000.0,5.0,20.0,0.05,True,True,[[-0.5586345]],False,50,20,0.01,1.2,7.0,0.8,,10.0,329.1191167831421,10.0,1.0,
22,7/24/25 14:16,cs2,1000.0,20.0,,,True,False,[[-1.04424068]],True,50,20,0.01,,,,,,0.8695278167724609,,,
23,7/24/25 14:16,cs3,1000.0,5.0,20.0,0.05,True,False,[[49.46844501]],True,50,20,0.01,,,,,,1173.484432220459,,,5.0
24,7/24/25 14:36,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.8936209678649902,,,
25,7/24/25 14:41,cs5,1000.0,5.0,20.0,0.05,True,True,[[-0.55556203]],False,50,20,0.01,1.2,7.0,0.8,,10.0,306.2844789028168,,,
26,7/24/25 16:50,cs1,500.0,5.0,20.0,0.05,True,True,[[-0.90071067]],True,50,20,0.01,1.0,7.0,0.8,,10.0,154.91176891326904,10.0,1.0,
27,7/24/25 16:50,cs2,500.0,20.0,,,True,False,[[-1.04546297]],True,50,20,0.01,,,,,,1.3332529067993164,,,
28,7/24/25 16:50,cs3,500.0,5.0,20.0,0.05,True,False,[[14.674863]],True,50,20,0.01,,,,,,317.6608998775482,,,5.0
29,7/24/25 16:56,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,1.0776679515838623,,,
30,7/24/25 16:58,cs5,500.0,5.0,20.0,0.05,True,False,[[10.45546302]],True,50,20,0.01,1.0,7.0,0.8,,10.0,147.47677397727966,,,
31,2025-07-25 15:30:58,cs1,500.0,5.0,20.0,0.05,True,False,[[9.94852204]],True,50,20,0.01,1.2,7.0,0.8,,10.0,309.9126739501953,10.0,1.0,
32,2025-07-25 15:33:45,cs2,500.0,20.0,,,True,True,[[-1.03822241]],True,50,20,0.01,,,,,,0.4880399703979492,,,
33,2025-07-25 15:33:50,cs3,500.0,5.0,20.0,0.05,True,False,[[10.13873973]],True,50,20,0.01,,,,,,205.72901487350464,,,
34,2025-07-25 15:37:16,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.8603179454803467,,,
35,2025-07-25 15:44:06,cs5,500.0,5.0,20.0,0.05,True,False,[[10.47231603]],True,50,20,0.01,1.2,7.0,0.8,,10.0,408.695130109787,,,
36,2025-07-25 16:24:30,cs1,500.0,5.0,20.0,0.05,True,True,[[0.10401126]],True,50,20,0.01,1.2,7.0,0.8,,10.0,343.8654110431671,10.0,1.0,
37,2025-07-25 16:28:18,cs2,500.0,20.0,,,True,False,[[-1.02468387]],True,50,20,0.01,,,,,,1.5352129936218262,,,
38,2025-07-25 16:28:26,cs3,500.0,5.0,20.0,0.05,True,False,[[1.02684742]],True,50,20,0.01,,,,,,130.70927810668945,,,
39,2025-07-25 16:30:37,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.8724081516265869,,,
40,2025-07-25 16:36:16,cs5,500.0,5.0,20.0,0.05,True,True,[[0.17872893]],True,50,20,0.01,1.2,7.0,0.8,,10.0,337.56744861602783,,,
41,2025-07-25 20:11:16,cs1,500.0,5.0,20.0,0.05,True,True,[[-0.71080239]],False,50,20,0.01,1.2,7.0,0.8,,10.0,342.6324517726898,50.0,1.0,
42,2025-07-25 20:14:17,cs2,500.0,20.0,,,True,False,[[-0.80632914]],True,50,20,0.01,,,,,,0.9248850345611572,,,
43,2025-07-25 20:14:23,cs3,500.0,5.0,20.0,0.05,True,False,[[53.89626786]],True,50,20,0.01,,,,,,592.4443120956421,,,
44,2025-07-25 20:24:16,cs4,,,,,True,True,[[0.09036176]],True,50,20,0.01,,,,,,0.957550048828125,,,
45,2025-07-25 20:29:24,cs5,500.0,5.0,20.0,0.05,True,True,[[-0.71710336]],False,50,20,0.01,1.2,7.0,0.8,,10.0,307.19431805610657,,,
